순번,전시회명,주최기관,전시시작일,전시종료일,전시장소,총전시면적,참가업체,참가업체_해외,참관객,참관객_해외,참관객_해외바이어
1,제20회 대한민국 교육박람회,(주)엑스포럼,2023-01-12,2023-01-14,코엑스,18378,250,39,53647,1842,1098
2,2023 코리아빌드위크,(주)메쎄이상,2023-02-16,2023-02-19,킨텍스,53541,640,130,65452,1705,1527
3,서울리빙디자인페어,디자인하우스,2023-02-22,2023-02-26,코엑스,36007,382,84,64609,222,158
4,2023 디카페쇼,더페어스,2023-02-23,2023-02-26,엑스코,4834,97,0,16591,180,77
5,스마트공장자동화산업전,코엑스,2023-03-08,2023-03-10,코엑스,36007,407,121,42474,1237,1204
6,제26회 국제금형 및 관련기기,한국금형공업협동조합,2023-03-14,2023-03-18,킨텍스,21546,306,77,306,77,19
7,인터배터리 2023,한국배터리산업협회,2023-03-15,2023-03-17,코엑스,25659,476,169,33661,820,706
8,KIMES 2023(국제의료기기·병원설비전시회),(주)한국이앤엑스,2023-03-23,2023-03-26,코엑스,38904,748,141,68334,3029,3029
9,제21회 대구국제안경전,한국안광학산업진흥원,2023-04-05,2023-04-07,엑스코,10087,137,24,8228,439,320
10,제 5회 대한민국맥주박람회,주식회사 글로벌마이스전문가그룹,2023-04-06,2023-04-08,코엑스,10348,187,72,14316,585,247
11,2023 국제제약화장품위크,(주)경연전람,2023-04-18,2023-04-21,킨텍스,53541,944,282,35914,878,869
12,2023 케이펫페어 부산,주식회사 메쎄이상,2023-04-21,2023-04-23,벡스코,9936,192,16,22137,79,58
13,제10회 국제전기자동차엑스포,(사)국제전기자동차엑스포,2023-05-02,2023-05-05,제주국제컨벤션센터,11000,91,10,4191,418,405
14,서울국제가구 및 인테리어산업대전,대한가구산업협동조합연합회,2023-05-04,2023-05-07,코엑스,10368,135,7,16505,286,285
15,MBC건축박람회(통합명칭),(주)동아전람,2023-05-11,2023-05-14,킨텍스,42930,548,63,58873,145,145
16,2023 코리아 엑스포,(주)엑스포럼,2023-05-13,2023-05-15,프랑스(파리 포르트 드 베르사유),5951,146,15,9717,8721,2822
17,제11회 부산국제기계대전,(주)한국산업마케팅연구원,2023-05-16,2023-05-19,벡스코,33228,421,139,29752,715,691
18,Electric Energy Show 2023 in Hanoi,전기전기산업진흥회,2023-05-17,2023-05-19,베트남(하노이 ICE),4389,153,68,7379,7332,172
19,"2023 코스모뷰티서울, 헬스앤뷰티위크",(주)한국국제전시,2023-05-25,2023-05-27,코엑스,11088,369,62,24188,4155,1015
20,2023 베트남 국제 프리미엄 소비재전,(주)코엑스,2023-06-01,2023-06-04,베트남(호치민 SECC),4400,197,18,4214,4214,2764
21,제주 카페스타,(주)숨비페어스,2023-06-08,2023-06-11,제주국제컨벤션센터,2395,94,0,8498,50,5
22,2023 대한민국 전기산업엑스포,(주)엑스코,2023-06-14,2023-06-16,엑스코,10005,110,3,3891,31,30
23,2023부산국제철도기술산업전,(주)벡스코,2023-06-14,2023-06-17,벡스코,17672,114,24,17019,531,384
24,2023 스마트팜 코리아,주식회사 제이엠컴퍼니,2023-06-15,2023-06-17,창원컨벤션센터,5103,118,4,6597,35,22
25,2023 베트남 K-Med Expo,(사)한국의료기기산업협회,2023-06-15,2023-06-17,베트남(호치민 SECC),4440,113,12,4849,4766,2175
26,2023 서울국제주류&와인박람회,(주)한국국제전시,2023-06-22,2023-06-24,코엑스,10368,321,99,30311,394,258
27,부산디자인위크,(주)디자인하우스,2023-06-22,2023-06-25,벡스코,4800,115,18,7379,0,0
28,2023 광주미래산업엑스포,광주광역시 관광공사,2023-06-29,2023-07-01,김대중컨벤션센터,14288,144,3,5207,52,29
29,부산건축박람회(통합명칭),(주)동아전람,2023-06-29,2023-07-02,벡스코,13254,240,25,25410,76,76
30,대한민국 국제 첨단의료기기 및 의료산업전,대구경북첨단의료산업진흥재단,2023-06-30,2023-07-02,엑스코,7500,116,11,11429,89,74
31,2023 국제안전보건전시회,(주)경연전람,2023-07-03,2023-07-06,킨텍스,22580,242,45,24776,113,112
32,나노코리아,나노융합산업연구조합,2023-07-05,2023-07-07,킨텍스,18549,387,76,9854,176,167
33,2023인코스메틱스 코리아,케이훼어스(주),2023-07-12,2023-07-14,코엑스,10348,224,123,10602,1354,1347
34,2023 핸드아티코리아,(주)메쎄이상,2023-07-20,2023-07-23,코엑스,10348,494,54,18731,677,529
35,2023 ESG Korea Festa,(주)가교,2023-08-03,2023-08-05,ICC JEJU,3389,158,0,2507,9,0
36,2023 에듀플러스위크,글로벌비즈마켓(주),2023-08-10,2023-08-12,코엑스,10368,179,22,13660,128,79
37,부산인디커넥트페스티벌 2023,(사)부산인디커넥트페스티벌조직위원회,2023-08-25,2023-08-27,벡스코,8836,207,49,2678,263,235
38,2023 서울 팝 컬쳐 컨벤션,주식회사 엑스포럼,2023-08-25,2023-08-27,코엑스,13264,107,24,42892,5631,142
39,국제소방안전박람회,(주)엑스코,2023-08-30,2023-09-01,엑스코,26010,302,100,15499,191,191
40,Green&Agritech Asia 2023,광주광역시 관광공사,2023-08-30,2023-09-01,김대중컨벤션센터,3024,68,5,4667,46,41
